method,j,r,window,trial,arm,S,detected,score,pvalue,jaccard,recall,precision
Poisson-MDSS,3,1.5,2022-Q2,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,93.90092133853526,0.0625,,,
Poisson-MDSS,3,1.5,2022-Q2,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,203.8707868584698,0.0625,0.375,1.0,0.375
Poisson-MDSS,3,1.5,2022-Q3,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,26.47903642713827,0.1875,,,
Poisson-MDSS,3,1.5,2022-Q3,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,5.727784295741245,0.625,0.08333333333333333,0.3333333333333333,0.09999999999999999
Poisson-MDSS,3,1.5,2022-Q4,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,21.702451057640722,0.4375,,,
Poisson-MDSS,3,1.5,2022-Q4,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,28.214784937098862,0.25,0.23076923076923078,1.0,0.23076923076923078
Poisson-MDSS,3,1.5,2023-Q1,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,16.638607640685095,0.75,,,
Poisson-MDSS,3,1.5,2023-Q1,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,47.44982155897569,0.3125,0.25,0.6666666666666666,0.28571428571428575
Poisson-MDSS,3,1.5,2023-Q2,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,67.31690332834793,0.3125,,,
Poisson-MDSS,3,1.5,2023-Q2,0,injected,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,75.07837059318544,0.3125,0.21428571428571427,1.0,0.21428571428571427
Poisson-MDSS,3,1.5,2023-Q3,0,clean,"{'placing_basis_group': ['OPEN MARKET'], 'risk_code': ['P2'], 'loss_census_division': ['West South Central']}",False,4.829071697028791,1.0,,,
